Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Label
68,10.18655711432433,40,28,2174,1577,707.2974124835731,25.41548008612146,3,1,9,12,0,0.9252941406799384,356.43155215870627,BENIGN
80,408.6255767125343,825,184,55423,8314,4118.69151222789,159.7983132922906,20,4,24,7,0,5.265693590449568,1055.5450449256687,DDoS
80,142.13748999450135,10,26,8741,416,767.099706969207,18.957762209177005,2,0,1,11,0,1.7200410421416423,445.19810401532595,BENIGN
80,14.58741359161042,8,26,9000,1874,212.59670074308607,15.286588428507821,3,1,6,4,0,0.9050557380054483,673.8024043275539,BENIGN
443,51.03244126719748,644,72,37609,9648,4551.076272850214,117.7710284128659,37,0,27,12,0,9.58904285247922,436.62226645491455,Infiltration
80,486.4026149833686,440,8,31387,1109,10693.153483177284,98.14095150836471,207,6,34,243,4,1.7358376260910182,859.2318289658315,DoS Slowloris
80,624.5997100092688,16,8,2006,3821,309.98854070279333,2.3372129236105046,0,0,1,5,0,1.477096387547919,262.7918967435731,BENIGN
80,467.6523912231331,632,93,31715,3419,5554.844706277166,175.55200983093707,383,0,33,237,0,3.021315095323857,1230.3351235736204,DoS Slowloris
53,23.6742746540286,28,26,1672,3332,1917.8193372685266,22.949453266924984,0,0,4,16,0,1.3931669026289781,656.1057215466001,BENIGN
22,134.92927514855302,87,123,88775,1764,2980.1526944792618,93.77289112225579,1,3,23,11,0,7.851203161154521,1405.281468051925,DDoS
3389,892.8807163939164,935,43,88173,5348,7293.630408585957,15.901835337706352,206,2,17,135,3,5.352178735293887,1485.5946681525256,DoS GoldenEye
8080,522.3342341672262,562,105,23127,7100,10289.714397407599,60.77980333895214,825,145,7,132,1,3.3896963352887948,201.0989855086156,PortScan
80,60.920672439294144,31,18,2649,2352,43.760032006483044,12.825821517144544,3,0,1,7,0,1.4621804317530236,331.2547337572041,BENIGN
80,725.3038928010917,37,9,3225,3682,700.7224780948934,20.36956220045812,2,0,8,1,0,1.846213880102054,579.7022317793319,BENIGN
443,852.3810813915501,28,22,3556,3654,516.9038301035498,4.6982879800232915,1,0,6,0,0,1.7339983094616125,243.2555225172154,BENIGN
22,63.286274777768185,556,29,85094,4901,9296.983914484988,89.22426413370191,35,1,9,27,0,1.4127515632547198,1405.9596630831104,DDoS
