protocol,packet_size,src_bytes,dst_bytes,src_ip,dest_ip,service,tcp_flags,error_rate,wrong_fragment,count,is_threat,attack_type
tcp,1198,180.0,1018.0,192.168.1.42,10.0.0.245,ftp_data,SF,0.0654491791924518,0,4,0,BENIGN
tcp,3266,1621.0,1645.0,192.168.1.253,10.0.0.204,ftp_data,SR,0.0545615995817017,0,18,1,U2R
icmp,435,195.0,240.0,192.168.1.86,10.0.0.235,eco_i,,0.3310149568470472,1,8,1,DoS
icmp,895,452.0,443.0,192.168.1.47,10.0.0.131,eco_i,,0.3404354603225996,0,32,1,U2R
tcp,3138,1213.0,1925.0,192.168.1.159,10.0.0.27,ftp,SF,0.0968912201782159,0,8,0,BENIGN
udp,1223,565.0,658.0,192.168.1.103,10.0.0.216,ntp,,0.3262271324452268,0,10,1,R2L
tcp,1514,1133.0,381.0,192.168.1.10,10.0.0.179,smtp,SF,0.0932652865109654,0,5,0,BENIGN
tcp,3727,1186.0,2541.0,192.168.1.239,10.0.0.174,ftp_data,SF,0.0864207840335915,0,8,0,BENIGN
tcp,5031,959.0,4072.0,192.168.1.171,10.0.0.15,http,SF,0.0157293840418016,0,10,0,BENIGN
tcp,734,120.0,614.0,192.168.1.243,10.0.0.70,smtp,S,0.1981118911467844,0,46,1,DoS
tcp,1187,497.0,690.0,192.168.1.171,10.0.0.131,telnet,SF,0.0164040399710966,0,4,0,BENIGN
tcp,4095,533.0,3562.0,192.168.1.56,10.0.0.104,ftp,SF,0.1077760261012023,0,10,0,BENIGN
tcp,6081,391.0,5690.0,192.168.1.112,10.0.0.36,ftp,SF,0.0322722702556535,0,9,0,BENIGN
tcp,1820,1487.0,333.0,192.168.1.58,10.0.0.13,smtp,R,0.3308835959743436,0,47,1,U2R
icmp,7172,1559.0,5613.0,192.168.1.115,10.0.0.109,eco_i,,0.307222795877913,0,16,0,BENIGN
tcp,4470,1786.0,2684.0,192.168.1.87,10.0.0.114,http,SF,0.1086030965616184,0,14,0,BENIGN
udp,4217,1053.0,3164.0,192.168.1.122,10.0.0.19,dns,,0.1117839345467157,0,6,0,BENIGN
tcp,872,584.0,288.0,192.168.1.216,10.0.0.132,ftp_data,SF,0.2101872645746957,0,15,0,BENIGN
