protocol,packet_size,src_bytes,dst_bytes,src_ip,dest_ip,service,tcp_flags,error_rate,wrong_fragment,count,is_threat,attack_type
tcp,57,41,16,192.168.152.234,192.168.86.196,pop3,S,0.16001813343573495,0,39,1,probe
tcp,947,361,586,87.251.57.58,40.26.192.16,smtp,SA,0.02973734397291557,0,76,0,normal
udp,646,214,432,192.168.170.158,192.168.252.118,dns,,0.03933429227324358,0,3,0,normal
tcp,773,347,426,192.168.198.67,204.201.195.165,telnet,R,0.017849464557046116,0,96,0,normal
tcp,587,343,244,192.168.249.197,212.79.232.10,pop3,S,0.045982108915624556,0,26,0,normal
tcp,710,560,150,161.143.100.14,64.87.33.104,ssh,FA,0.026641387132201592,0,16,0,normal
tcp,90,75,15,192.168.67.223,189.140.130.39,telnet,S,0.3831978400770811,0,81,1,dos
tcp,932,434,498,192.168.146.88,185.103.122.250,mysql,SA,0.07785479887237011,0,66,0,normal
udp,313,148,165,106.105.232.167,192.168.178.62,snmp,,0.03812368524411992,0,45,0,normal
icmp,49,42,7,204.189.57.128,192.168.214.124,time-exceeded,,0.24434677299222052,0,54,1,probe
tcp,234,212,22,192.168.173.250,192.168.210.211,mysql,S,0.48117082907640324,0,88,1,dos
tcp,1045,555,490,192.168.56.228,192.168.173.242,smtp,PA,0.04347082954338582,0,53,0,normal
tcp,432,189,243,192.168.180.226,192.168.127.178,https,S,0.07174500110981932,0,40,0,normal
tcp,734,512,222,192.168.17.219,192.168.168.34,telnet,SA,0.10043465813838064,0,20,0,normal
tcp,1224,788,436,44.87.103.187,118.123.172.1,telnet,FA,0.0632129347020792,0,55,0,normal
udp,564,499,65,192.168.171.96,192.168.55.56,snmp,,0.4342874333148697,0,48,1,dos
tcp,492,234,258,192.161.137.94,192.168.242.46,mysql,R,0.015621596546616686,0,25,0,normal
tcp,60,41,19,61.81.17.67,101.197.157.194,http,U,0.012343545703278674,0,25,0,normal
tcp,624,354,270,192.168.184.179,25.210.62.23,telnet,U,0.003782756276200932,0,3,0,normal
tcp,232,178,54,18.236.165.18,192.168.219.62,ssh,PA,0.07931874582311167,1,75,1,r2l
tcp,551,255,296,192.168.48.95,192.168.212.185,mysql,U,0.0384113859791266,0,92,0,normal
tcp,527,274,253,192.168.157.245,192.168.41.108,telnet,S,0.3321717712358496,1,63,1,dos
tcp,615,389,226,192.168.85.151,140.21.119.132,ftp,PA,0.009502555962155322,0,13,0,normal
tcp,741,380,361,192.168.2.236,192.168.182.225,imap,FA,0.013964210147376668,0,70,0,normal
udp,432,135,297,190.22.28.99,192.168.26.8,dhcp,,0.032172325344639346,0,33,0,normal
